rol,tribunal,tipo,año,filename,size_kb
"R-253-2020","2TA","definitiva","2020","R-253-2020_13-07-2021_Sentencia.pdf","2765.9"
"R-261-2020","2TA","definitiva","2020","2022.08.24_Sentencia_R-261-2020.pdf","1269.0"
"R-262-2020","2TA","definitiva","2020","R-262-2020_12-08-2021_Sentencia.pdf","1554.5"
"R-263-2020","2TA","definitiva","2020","2022.07.20_Sentencia_R-263-2020.pdf","2514.5"
"R-264-2020","2TA","definitiva","2020","2024.03.19_Sentencia_R-264-2020.pdf","1095.6"
"R-265-2020","2TA","definitiva","2020","2022.12.30_Sentencia_R-265-2020-1.pdf","1895.0"
"R-266-2020","2TA","definitiva","2020","R-266-2020_19-12-2022_Sentencia_foliada.pdf","1226.8"
"R-267-2020","2TA","definitiva","2020","R-267-2020_12-09-2022_Sentencia.pdf","2297.3"
"R-269-2020","2TA","definitiva","2020","R-269-2020_28-02-2022_Sentencia_foliada.pdf","3528.6"
"R-273-2021","2TA","definitiva","2021","2022.07.12_Sentencia_R-273-2021.pdf","1862.5"
"R-277-2021","2TA","definitiva","2021","R-277-2021_30-12-2022_Sentencia-4.pdf","2197.1"
"R-278-2021","2TA","definitiva","2021","R-278-2021_24-02-2022_Sentencia.pdf","4892.9"
"R-279-2021","2TA","definitiva","2021","R-279-2021_26-07-2023_Sentencia.pdf","810.9"
"R-280-2021","2TA","definitiva","2021","2023.04.25_Sentencia_R-280-2021.pdf","1070.6"
"R-281-2021","2TA","definitiva","2021","2023.08.08_Sentencia_R-281-2021.pdf","1572.5"
"R-282-2021","2TA","definitiva","2021","2023.06.30_Sentencia_R-282-2021_acumulada_R-303-2021.pdf","3841.1"
"R-283-2021","2TA","definitiva","2021","2022.11.30_Sentencia_R-283-2021.pdf","518.1"
"R-285-2021","2TA","definitiva","2021","2022.07.22_Sentencia_R-285-2021.pdf","337.7"
"R-292-2021","2TA","definitiva","2021","2023.08.10_Sentencia_R-292-2021.pdf","1183.6"
"R-293-2021","2TA","definitiva","2021","2022.07.25_Sentencia_R-293-2021_.pdf","537.9"
"R-295-2021","2TA","definitiva","2021","2022.11.09_Sentencia_R_295-2021.pdf","900.7"
"R-296-2021","2TA","definitiva","2021","R-296-2021_11-10-2022_Sentencia_foliada.pdf","1004.0"
"R-301-2021","2TA","definitiva","2021","2023.01.30_Sentencia_R-301-2021_acumulada_R-309-202133131.pdf","4782.5"
"R-304-2021","2TA","definitiva","2021","2022.10.26_Sentencia_R-304-2021acum.R325-2022.pdf","774.1"
"R-305-2021","2TA","definitiva","2021","R-305-2021_16-12-2022_Sentencia_foliada-2.pdf","1529.2"
"R-307-2021","2TA","definitiva","2021","2022.11.02_Sentencia_R-307-2021.pdf","875.3"
"R-313-2021","2TA","definitiva","2021","2023.04.19_Sentencia_R-313-2021.pdf","886.3"
"R-314-2021","2TA","definitiva","2021","Sentencia_Rol_N_314-2021_002.pdf","1009.3"
"R-315-2021","2TA","definitiva","2021","2022.11.24_Sentencia_R-315-2021.pdf","853.6"
"R-316-2021","2TA","definitiva","2021","2023.01.30_Sentencia_R_316-2021_acumulada_R_317-2021.pdf","1719.5"
"R-318-2021","2TA","definitiva","2021","R-318-2021_26-09-2022_Sentencia.pdf","759.2"
"R-34697-2021","2TA","reemplazo","2021","SCS-rol-34697-2021.-Tapia-Azocar-con-SMA.-Sentencia-de-Reemplazo.pdf","137.2"
"R-319-2022","2TA","definitiva","2022","2022.12.19_Sentencia_R-319-2022-1.pdf","737.5"
"R-322-2022","2TA","definitiva","2022","Sentencia_R-322-2022.pdf","2334.2"
"R-323-2022","2TA","definitiva","2022","2023.10.12_Sentencia_R-323-2022.pdf","1202.2"
"R-324-2022","2TA","definitiva","2022","Sentencia_R-324-2022-1.pdf","2242.2"
"R-326-2022","2TA","definitiva","2022","2022.09.06_Sentencia_R-326-2022.pdf","583.4"
"R-327-2022","2TA","definitiva","2022","2025.10.09_Sentencia_R-327-2022_R328_R335_R337_R338_R447.pdf","4910.0"
"R-331-2022","2TA","definitiva","2022","2024.03.11_Sentencia_R-331-2022.pdf","1876.7"
"R-333-2022","2TA","definitiva","2022","Sentencia_R-333-2022.pdf","12185.6"
