filename,tribunal,tipo,rol,año,size_kb
"Sentencia-Reemplazo-CS-R-53-2014.pdf","2TA","reemplazo","R-53-2014","2014","475.1"
"R-54-2014-01-12-2015-Sentencia.pdf","2TA","definitiva","R-54-2014","2014","517.9"
"Sentencia-Casacion-R-54-2014.doc","2TA","casacion","R-54-2014","2014","55.5"
"R-58-2015-15-10-2015-Sentencia.pdf","2TA","definitiva","R-58-2015","2015","530.4"
"R-62-2015-29-02-2016-Sentencia.pdf","2TA","definitiva","R-62-2015","2015","730.4"
"Sentencia-Casacion-R-62-2015.doc","2TA","casacion","R-62-2015","2015","23.0"
"R-63-2015-21-04-2016-Sentencia.pdf","2TA","definitiva","R-63-2015","2015","893.3"
"R-67-2015-31-01-2017-Sentencia.pdf","2TA","definitiva","R-67-2015","2015","1122.9"
"R-68-2015-22-07-2016-Sentencia.pdf","2TA","definitiva","R-68-2015","2015","840.8"
"R-72-2015-12-06-2017-Sentencia.pdf","2TA","definitiva","R-72-2015","2015","2820.1"
"R-73-2015-08-11-2016-Sentencia.pdf","2TA","definitiva","R-73-2015","2015","756.1"
"R-75-2015-30-12-2016-Sentencia.pdf","2TA","definitiva","R-75-2015","2015","1142.0"
"R-76-2015-05-10-2016-Sentencia.pdf","2TA","definitiva","R-76-2015","2015","1641.5"
"R-77-2015-17-03-2017-Sentencia.pdf","2TA","definitiva","R-77-2015","2015","754.0"
"R-79-2015-30-05-2016-Sentencia.pdf","2TA","definitiva","R-79-2015","2015","343.0"
"R-82-2015-29-09-2017-Sentencia.pdf","2TA","definitiva","R-82-2015","2015","3534.5"
"R-83-2015-30-03-2016-Sentencia.pdf","2TA","definitiva","R-83-2015","2015","704.9"
"R-86-2015-28-10-2016-Sentencia.pdf","2TA","definitiva","R-86-2015","2015","4947.1"
"Sentencia-CS-Punta-Piqueros_R-86-2015_Rol-97792-2016.pdf","2TA","definitiva","R-86-2015","2015","367.2"
"R-87-2015-17-06-2016-Sentencia.pdf","2TA","definitiva","R-87-2015","2015","670.0"
"R-88-2015-27-07-2016-Sentencia.pdf","2TA","definitiva","R-88-2015","2015","1234.0"
"R-89-2016-27-04-2017-Sentencia.pdf","2TA","definitiva","R-89-2016","2016","2084.2"
